NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2025,21,Cardinals,31,22,7,31,17,29,24,25,26
2,2025,21,Falcons,10,23,18,7,14,19,12,24,15
3,2025,21,Ravens,14,10,27,2,15,18,30,9,24
4,2025,21,Bills,4,3,11,1,3,12,2,28,8
5,2025,21,Panthers,18,27,25,20,27,16,15,21,16
6,2025,21,Bears,11,9,8,3,4,23,25,26,29
7,2025,21,Bengals,23,12,5,29,16,30,26,32,31
8,2025,21,Browns,24,31,31,27,30,13,3,17,5
9,2025,21,Cowboys,27,5,2,8,2,32,32,23,30
10,2025,21,Broncos,8,15,13,21,12,4,7,5,4
11,2025,21,Lions,16,4,3,13,5,22,19,13,17
12,2025,21,Packers,21,14,15,15,11,11,14,16,14
13,2025,21,Texans,2,13,16,22,19,3,5,2,1
14,2025,21,Colts,19,7,9,17,9,21,31,7,23
15,2025,21,Jaguars,5,6,12,18,10,9,20,1,11
16,2025,21,Chiefs,29,20,17,24,20,5,10,8,10
26,2025,21,Chargers,13,24,19,14,18,8,6,10,6
29,2025,21,Rams,7,1,1,9,1,10,22,11,19
23,2025,21,Raiders,32,32,28,32,32,25,13,18,13
17,2025,21,Dolphins,20,25,26,12,25,24,18,27,22
18,2025,21,Vikings,9,26,29,23,28,7,1,22,3
19,2025,21,Patriots,3,8,6,5,6,2,8,4,2
20,2025,21,Saints,17,28,14,28,23,14,4,19,9
21,2025,21,Giants,25,16,21,6,13,26,16,31,27
22,2025,21,Jets,30,29,32,11,29,31,17,29,25
24,2025,21,Eagles,15,19,23,16,24,6,9,20,12
25,2025,21,Steelers,12,17,22,26,26,17,29,15,28
27,2025,21,49ers,6,11,4,25,8,15,21,12,18
28,2025,21,Seahawks,1,2,10,10,7,1,11,3,7
30,2025,21,Buccaneers,22,18,20,19,21,20,27,6,20
31,2025,21,Titans,28,30,30,30,31,28,23,14,21
32,2025,21,Commanders,26,21,24,4,22,27,28,30,32
