NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank,
1,2018,4,Cardinals,32,32,31,31,32,15,11,31,18
2,2018,4,Falcons,8,6,6,21,7,30,25,25,28
3,2018,4,Ravens,6,5,8,23,10,4,4,4,2
4,2018,4,Bills,31,31,32,24,31,20,16,11,15
5,2018,4,Panthers,10,16,25,1,18,8,13,19,14
6,2018,4,Bears,21,8,23,10,22,3,10,2,4
7,2018,4,Bengals,13,4,12,22,16,23,28,21,29
8,2018,4,Browns,25,11,24,2,19,19,24,23,25
9,2018,4,Cowboys,18,30,30,4,27,7,6,12,5
10,2018,4,Broncos,23,25,19,3,13,17,20,8,17
11,2018,4,Lions,29,17,10,20,11,24,2,32,8
12,2018,4,Packers,15,19,14,19,17,11,7,15,6
13,2018,4,Texans,20,14,11,9,5,21,27,9,22
14,2018,4,Colts,26,18,16,29,24,18,18,18,19
15,2018,4,Jaguars,9,22,15,13,15,1,1,10,1
16,2018,4,Chiefs,3,1,9,14,8,25,31,28,32
26,2018,4,Chargers,12,9,13,8,9,28,21,17,23
29,2018,4,Rams,1,2,2,7,1,5,15,5,9
17,2018,4,Dolphins,22,26,28,26,30,14,26,20,26
18,2018,4,Vikings,11,20,5,32,12,22,23,13,21
19,2018,4,Patriots,5,15,22,12,23,12,8,26,11
20,2018,4,Saints,4,3,7,18,4,29,30,3,24
21,2018,4,Giants,24,29,20,27,25,16,9,29,12
22,2018,4,Jets,27,21,27,25,29,13,14,16,13
23,2018,4,Raiders,28,13,4,16,2,31,17,30,27
24,2018,4,Eagles,7,27,17,11,20,10,19,1,10
25,2018,4,Steelers,2,10,3,28,6,26,29,22,30
27,2018,4,49ers,30,12,21,6,21,27,22,14,20
28,2018,4,Seahawks,17,24,29,17,28,9,5,27,7
30,2018,4,Buccaneers,16,7,1,30,3,32,32,6,31
31,2018,4,Titans,19,28,26,15,26,6,12,24,16
32,2018,4,Redskins,14,23,18,5,14,2,3,7,3
