sqnbr,snbr,qtype,Question,Tip,Picture
1,1,yesno,Do you like playing in the DareDevil Ducks League each year?,The game where we see who can predict the most NFL Game Winners for a full NFL season.,1SurveyHomeScreen1.png
2,1,yesno,Do you use the Mobile Phone to connect to the Website to make your weekly picks?,PC Website Link is :  'DareDevilDucksM.xyz',1SurveyMobileScreenHomePage.png
3,1,yesno,Do you use the DareDevil Ducks 'Current Scores' screen to follow game scores each week?,From the 'Team' button you can access the 'Current Scores' screen to see real-time NFL scores.,1CurrentScoresScreenShot1.png
4,1,yesno,Do you like having a 'Total Percentage Leader'?,From the 'Member Stats' button you can select the 'Total Percentage Leaders' screen.  The list displays every Member and the percentage of wins each Member has from the 1st week to date.  The order of Member names is highest percentage of wins at the top~ to the least percentage of wins at the bottom.  ,1TotalPercentageLeadersScreen.png
5,1,yesno,Do you use the 'Pick Your Teams' or 'Members Pick for Week' to follow game scores?,On the 'Games' button you can select either 'Pick Your Teams' or 'Members Pick for the Week'.  When the game is over~ the score of each game is posted for each team.  The winning score is highlighted in green.  This shows up in the 'Pick Your Teams'~  'Members Picks for the Week'~  'Total Members Team Picks for the Week' (from the same main 'Games' button)~  and  'Team Weekly Ranking' (found on the main 'Teams' button) screens.,PickYourTeamFixScreenShot3.png
6,1,yesno,Would you like to change the DareDevil Ducks game?  If Yes~ please comment on what the first thing is that you would change about DareDevil Ducks League? ,We are interested in knowing how each member feels about the league and how we can improve the league,2SurveyHomeScreen1.png
7,1,yesno,Do you check the 'Total Members Team Picks for the Week' to see how many Members have picked each team for each game?,From the main button 'Games'~ select 'Total Members Team Picks for the Week'.  The screen displays the number of DareDevil Ducks Members who have picked each team for each game on a given week. ,1TotalMembersTeamsPickforWeekScreen.png
8,1,yesno,Do you check the 'Weekly Total Leaders' screen each week after the games have been played to see where you are in the league standings?,The list shows every Member and how many wins each they had for a specific NFL week.  The Member's name at the top of the list is the one who had the most wins for that week.  The Member at the top of the list has the most wins.  The list goes from most wins at the top~ to the least number of wins at the bottom for the week.  You can see any week's win leader by changing the 'Season' field~ or the 'Week' field under the screen title.,1WeeklyTotalLeadersScreen.png
9,1,yesno,Do you follow the 'Team Playoff Brackets' through the entire playoff season?,Click on the main 'Team' button~ then select the 'Team Playoff Bracket' button to display the bracket.  The bracket starts approximately on week 14 when the NFL pundits define who has a chance to make the playoffs.,PlayoffBracketsScreenShotFix.png
10,1,yesno,Do you have more things you would like to change in the DareDevil Ducks League?  If Yes~ please comment on the other things you would like to have changed in the League? ,We are interested in knowing what each member likes and dislikes~ and thinks we should improve on in the league.,1SurveyHomeScreen2.png
11,1,yesno,Do you use the 'Team Stats Chart' regularly?,Select the main 'Team' button~ and then select 'Team Stats Chart'.  Select the type of chart you want to see in the 'Chart' field.  Then select the 2 teams that you want to see in the chart.  The 2 teams will have a line chart built so you can compare the teams relative merits.  We realized that most people tend to look at charts as the higher the line the better the score.  But in this chart the higher the Predictive Ranking Number value the better the team ranks; the lower the worse!,TeamStatsChartsFixScreenShot.png
12,1,yesno,Do you use the PC / Laptop to connect to the Website to make your weekly picks?,PC Website Link is :  'DareDevilDucks.xyz',1SurveyHomeScreen3.png
13,1,yesno,Have you completed your profile information to let other members know a little bit about you?,You can update your profile information and define what you want them to see by clicking on your Screen Icon in the top right hand corner of any screen?  You can select your favorite team and give us a brief football biography.  At the bottom of the screen you can check to allow DareDevil Ducks members see your Name and/or gender.  Leaving the check box blank means no on will see that information about you.,ProfileManageFixScreenShot.png
14,1,yesno,Do you check the 'Total Wins Leader' each week after the games to see which member is in the lead?,Select the 'Member Stats' button and then select 'Total Wins Leader'.  This displays a list of every Member and how many wins each Member has from the 1st week to date.  The Member name at the top has the most wins~ and it is in the order of the most wins to the least number of wins.  The Member with the most wins at the end of the Football season is our DareDevil Ducks Winner.,TotalWinsLeadersFixScreenShot1.png
15,1,yesno,In the 'Total Members Team Picks for the Week' screen do you look to see who is picking each team for each game?,Select 'Games' and then select 'Total Members Team Picks for the Week'.  When you click on the number of DareDevil Ducks Members who have picked each team for each game for that week~ you will see the list of Screen Names listed who picked that team to win.,2TotalMembersTeamsPickforWeekScreen.png
16,1,yesno,Do you use the news screen 'NFL Headlines'?   ,From the 'Team' button you can access the 'NFL Headlines' screen and choose to see the latest NFL news from 'Boston Globe'~ 'ESPN'~ 'Fox'~ 'Rotowire' and 'Sports Illustrated',TeamNFLHeadlinesFixScreenShot1.png
17,1,yesno,Do you like having Avatars for each member?  (a graphical image that represents a person~ as on the Internet),The Image should be a picture that helps to define each member's DareDevil Ducks screen name.,SurveyAvatarExample.png
