1,Cowboys,Buccaneers,8:20 PM,NBC
1,Steelers,Bills,1 PM,CBS
1,Jets,Panthers,1 PM,CBS
1,Jaguars,Texans,1 PM,CBS
1,Cardinals,Titans,1 PM,CBS
1,Chargers,Washington,1 PM,CBS
1,Vikings,Bengals,1 PM,FOX
1,49ers,Lions,1 PM,FOX
1,Eagles,Falcons,1 PM,FOX
1,Seahawks,Colts,1 PM,FOX
1,Browns,Chiefs,4:25 PM,CBS
1,Dolphins,Patriots,4:25 PM,CBS
1,Broncos,Giants,4:25 PM,FOX
1,Packers,Saints,4:25 PM,FOX
1,Bears,Rams,8:20 PM,NBC
1,Ravens,Raiders,8:15 PM,ESPN
2,Giants,Washington,8:20 PM,NFLN
2,Patriots,Jets,1 PM,CBS
2,Texans,Browns,1 PM,CBS
2,Broncos,Jaguars,1 PM,CBS
2,Raiders,Steelers,1 PM,CBS
2,Bills,Dolphins,1 PM,FOX
2,Bengals,Bears,1 PM,FOX
2,Rams,Colts,1 PM,FOX
2,49ers,Eagles,1 PM,FOX
2,Saints,Panthers,1 PM,FOX
2,Vikings,Cardinals,4:05 PM,FOX
2,Falcons,Buccaneers,4:05 PM,FOX
2,Cowboys,Chargers,4:25 PM,CBS
2,Titans,Seahawks,4:25 PM,CBS
2,Chiefs,Ravens,8:20 PM,NBC
2,Lions,Packers,8:15 PM,ESPN
3,Panthers,Texans,8:20 PM,NFLN
3,Ravens,Lions,1 PM,CBS
3,Chargers,Chiefs,1 PM,CBS
3,Bengals,Steelers,1 PM,CBS
3,Colts,Titans,1 PM,CBS
3,Saints,Patriots,1 PM,FOX
3,Falcons,Giants,1 PM,FOX
3,Cardinals,Jaguars,1 PM,FOX
3,Washington,Bills,1 PM,FOX
3,Bears,Browns,1 PM,FOX
3,Jets,Broncos,4:05 PM,CBS
3,Dolphins,Raiders,4:05 PM,CBS
3,Seahawks,Vikings,4:25 PM,FOX
3,Buccaneers,Rams,4:25 PM,FOX
3,Packers,49ers,8:20 PM,NBC
3,Eagles,Cowboys,8:15 PM,ESPN
4,Jaguars,Bengals,8:20 PM,NFLN
4,Titans,Jets,1 PM,CBS
4,Texans,Bills ,1 PM,CBS
4,Colts,Dolphins,1 PM,CBS
4,Browns,Vikings,1 PM,CBS
4,Chiefs,Eagles,1 PM,CBS
4,Giants,Saints,1 PM,FOX
4,Washington,Falcons,1 PM,FOX
4,Lions,Bears,1 PM,FOX
4,Panthers,Cowboys,1 PM,FOX
4,Cardinals,Rams,4:05 PM,FOX
